,ReefName,Longitude,Latitude,BleachingCategory,pH_change,temp_change,salt_change,pH_category,temp_category,salt_category,salttemp,saltph,tempph,all
26,U/N Reef,145.6501923,-14.66489029,4,-0.017928123,1.246927261,0.134777069,2,2,2,1,1,1,1
9,Ribbon No 10 Reef,145.6981354,-14.82720089,4,-0.017122269,1.149570465,0.133705139,2,2,2,1,1,1,1
29,No Name Reef,145.646286,-14.64376545,3,-0.017928123,1.246927261,0.134777069,2,2,2,1,1,1,1
7,U/N Reef,145.5276184,-14.8655138,3,-0.017681122,1.222904205,0.316074371,2,2,3,2,2,1,2
8,Rocky Islets Reef,145.4799347,-14.85496998,4,-0.01853466,1.244373322,0.370914459,3,2,3,2,4,4,9
4,Helsdon Reef,145.4880066,-14.93945408,3,-0.018483162,1.218584061,0.371089935,3,2,3,2,4,4,9
5,U/N Reef,145.5160065,-14.91681099,3,-0.018404007,1.214899063,0.335681915,3,2,3,2,4,4,9
16,Turtle Group Reef (No 2),145.1991272,-14.73466969,4,-0.017816544,1.249242783,0.493522644,2,2,4,3,3,1,3
17,Turtle Group Reef (No 1),145.1870575,-14.73452568,4,-0.017816544,1.249242783,0.493522644,2,2,4,3,3,1,3
12,Maxwell Reef,145.3155823,-14.78671837,4,-0.01968956,1.226352692,0.476257324,4,2,4,3,8,7,13
13,Linnet Reef,145.3444367,-14.78665161,4,-0.019026756,1.21257782,0.449398041,4,2,4,3,8,7,13
14,Martin Reef,145.3555298,-14.76314163,4,-0.019026756,1.21257782,0.449398041,4,2,4,3,8,7,13
1,Two Islands Reef,145.4415131,-15.02282429,4,-0.021346092,1.199947357,0.456439972,4,2,4,3,8,7,13
36,Jewell Reef,145.3512878,-14.37976837,4,-0.017337799,1.29155159,0.135379791,2,3,2,4,1,2,4
30,Yonge Reef,145.6234741,-14.59968185,3,-0.018810272,1.295646667,0.13873291,4,3,2,4,6,8,14
25,Lizard Island Reef (Coconut Bay),145.4723206,-14.68106556,3,-0.017967224,1.284452438,0.295387268,2,3,3,5,2,2,5
24,Lizard Island Reef (Lagoon),145.4498138,-14.68557739,3,-0.01762867,1.255805969,0.348419189,2,3,3,5,2,2,5
6,U/N Reef,145.5572815,-14.88309574,4,-0.0187006,1.254701614,0.284763336,3,3,3,5,4,5,10
15,North Direction Reef,145.5106812,-14.74591541,2,-0.01861763,1.296110153,0.295013428,3,3,3,5,4,5,10
10,South Direction Reef (North),145.5235748,-14.82437229,2,-0.018358231,1.264863968,0.296955109,3,3,3,5,4,5,10
11,South Direction Reef (South),145.5207214,-14.81170082,3,-0.018866539,1.29268837,0.289173126,4,3,3,5,7,8,15
20,Turtle Group Reef (No 4),145.1980133,-14.72135258,4,-0.018068314,1.282747269,0.481491089,3,3,4,6,5,5,11
21,Turtle Group Reef (No 8),145.1846924,-14.71768856,4,-0.018068314,1.282747269,0.481491089,3,3,4,6,5,5,11
22,Turtle Group Reef (No 6),145.1931915,-14.71372223,4,-0.018068314,1.282747269,0.481491089,3,3,4,6,5,5,11
23,Turtle Group Reef (No 5),145.2041931,-14.70484257,4,-0.018068314,1.282747269,0.481491089,3,3,4,6,5,5,11
35,Hilder Reef,145.4103699,-14.44501114,3,-0.017848969,1.304107666,0.155799866,2,4,2,7,1,3,6
0,U/N Reef,145.6959381,-15.03404808,4,-0.019834518,1.367494583,0.119865417,4,4,2,7,6,9,16
3,No 10 Patches (No 3),145.6901856,-14.95040894,4,-0.019756317,1.361879349,0.144836426,4,4,2,7,6,9,16
32,Day Reef,145.5367737,-14.49668884,4,-0.01954937,1.339830399,0.132068634,4,4,2,7,6,9,16
2,Ribbon No 9 Reef,145.7033539,-14.99295044,3,-0.019850731,1.371641159,0.125720978,4,4,2,7,6,9,16
34,Hicks Reef,145.4821167,-14.45256233,3,-0.019468307,1.344532013,0.11410141,4,4,2,7,6,9,16
31,Carter Reef,145.5889893,-14.54767418,3,-0.019198418,1.305675507,0.124702454,4,4,2,7,6,9,16
33,Waining Reef,145.2222443,-14.45621586,4,-0.016340256,1.310329437,0.248519897,2,4,3,8,2,3,7
27,Lizard Island Reef (North West),145.4469452,-14.65856457,3,-0.018014908,1.300584793,0.300243378,3,4,3,8,4,6,12
28,Lizard Island Reef (North East),145.4661102,-14.65501785,2,-0.018141747,1.303462982,0.268795013,3,4,3,8,4,6,12
18,Turtle Group Reef (No 3),145.1793518,-14.72984409,4,-0.017350197,1.310508728,0.476463318,2,4,4,9,3,3,8
19,Turtle Reef (South),145.1610107,-14.72149372,4,-0.017350197,1.310508728,0.476463318,2,4,4,9,3,3,8
