,ReefName,Longitude,Latitude,BleachingCategory,pH_change,temp_change,salt_change
0,U/N Reef,145.6959381,-15.03404808,4,-0.019834518432617188,1.3674945831298828,0.11986541748046875
1,Two Islands Reef,145.4415131,-15.02282429,4,-0.021346092224121094,1.1999473571777344,0.4564399719238281
2,Ribbon No 9 Reef,145.7033539,-14.99295044,3,-0.019850730895996094,1.3716411590576172,0.12572097778320312
3,No 10 Patches (No 3),145.6901856,-14.95040894,4,-0.019756317138671875,1.3618793487548828,0.14483642578125
4,Helsdon Reef,145.4880066,-14.93945408,3,-0.01848316192626953,1.2185840606689453,0.3710899353027344
5,U/N Reef,145.5160065,-14.91681099,3,-0.018404006958007812,1.2148990631103516,0.3356819152832031
6,U/N Reef,145.5572815,-14.88309574,4,-0.018700599670410156,1.2547016143798828,0.2847633361816406
7,U/N Reef,145.5276184,-14.8655138,3,-0.017681121826171875,1.2229042053222656,0.3160743713378906
8,Rocky Islets Reef,145.4799347,-14.85496998,4,-0.01853466033935547,1.2443733215332031,0.3709144592285156
9,Ribbon No 10 Reef,145.6981354,-14.82720089,4,-0.017122268676757812,1.1495704650878906,0.13370513916015625
10,South Direction Reef (North),145.5235748,-14.82437229,2,-0.018358230590820312,1.2648639678955078,0.2969551086425781
11,South Direction Reef (South),145.5207214,-14.81170082,3,-0.018866539001464844,1.2926883697509766,0.2891731262207031
12,Maxwell Reef,145.3155823,-14.78671837,4,-0.019689559936523438,1.2263526916503906,0.47625732421875
13,Linnet Reef,145.3444367,-14.78665161,4,-0.019026756286621094,1.2125778198242188,0.4493980407714844
14,Martin Reef,145.3555298,-14.76314163,4,-0.019026756286621094,1.2125778198242188,0.4493980407714844
15,North Direction Reef,145.5106812,-14.74591541,2,-0.018617630004882812,1.2961101531982422,0.295013427734375
16,Turtle Group Reef (No 2),145.1991272,-14.73466969,4,-0.017816543579101562,1.2492427825927734,0.49352264404296875
17,Turtle Group Reef (No 1),145.1870575,-14.73452568,4,-0.017816543579101562,1.2492427825927734,0.49352264404296875
18,Turtle Group Reef (No 3),145.1793518,-14.72984409,4,-0.017350196838378906,1.3105087280273438,0.47646331787109375
19,Turtle Reef (South),145.1610107,-14.72149372,4,-0.017350196838378906,1.3105087280273438,0.47646331787109375
20,Turtle Group Reef (No 4),145.1980133,-14.72135258,4,-0.018068313598632812,1.2827472686767578,0.4814910888671875
21,Turtle Group Reef (No 8),145.1846924,-14.71768856,4,-0.018068313598632812,1.2827472686767578,0.4814910888671875
22,Turtle Group Reef (No 6),145.1931915,-14.71372223,4,-0.018068313598632812,1.2827472686767578,0.4814910888671875
23,Turtle Group Reef (No 5),145.2041931,-14.70484257,4,-0.018068313598632812,1.2827472686767578,0.4814910888671875
24,Lizard Island Reef (Lagoon),145.4498138,-14.68557739,3,-0.01762866973876953,1.2558059692382812,0.348419189453125
25,Lizard Island Reef (Coconut Bay),145.4723206,-14.68106556,3,-0.01796722412109375,1.2844524383544922,0.29538726806640625
26,U/N Reef,145.6501923,-14.66489029,4,-0.017928123474121094,1.246927261352539,0.13477706909179688
27,Lizard Island Reef (North West),145.4469452,-14.65856457,3,-0.018014907836914062,1.3005847930908203,0.3002433776855469
28,Lizard Island Reef (North East),145.4661102,-14.65501785,2,-0.018141746520996094,1.3034629821777344,0.2687950134277344
29,No Name Reef,145.646286,-14.64376545,3,-0.017928123474121094,1.246927261352539,0.13477706909179688
30,Yonge Reef,145.6234741,-14.59968185,3,-0.018810272216796875,1.2956466674804688,0.13873291015625
31,Carter Reef,145.5889893,-14.54767418,3,-0.01919841766357422,1.3056755065917969,0.12470245361328125
32,Day Reef,145.5367737,-14.49668884,4,-0.01954936981201172,1.3398303985595703,0.13206863403320312
33,Waining Reef,145.2222443,-14.45621586,4,-0.016340255737304688,1.3103294372558594,0.2485198974609375
34,Hicks Reef,145.4821167,-14.45256233,3,-0.019468307495117188,1.3445320129394531,0.11410140991210938
35,Hilder Reef,145.4103699,-14.44501114,3,-0.017848968505859375,1.304107666015625,0.15579986572265625
36,Jewell Reef,145.3512878,-14.37976837,4,-0.017337799072265625,1.2915515899658203,0.13537979125976562
