ReefName,Longitude,Latitude
U/N Reef,145.6959 ,-15.0340 
Two Islands Reef,145.4415 ,-15.0228 
Ribbon No 9 Reef,145.7034 ,-14.9930 
No 10 Patches (No 3),145.6902 ,-14.9504 
Helsdon Reef,145.4880 ,-14.9395 
U/N Reef,145.5160 ,-14.9168 
U/N Reef,145.5573 ,-14.8831 
U/N Reef,145.5276 ,-14.8655 
Rocky Islets Reef,145.4799 ,-14.8550 
Ribbon No 10 Reef,145.6981 ,-14.8272 
South Direction Reef (North),145.5236 ,-14.8244 
South Direction Reef (South),145.5207 ,-14.8117 
Maxwell Reef,145.3156 ,-14.7867 
Linnet Reef,145.3444 ,-14.7867 
Martin Reef,145.3555 ,-14.7631 
North Direction Reef,145.5107 ,-14.7459 
Turtle Group Reef (No 2),145.1991 ,-14.7347 
Turtle Group Reef (No 1),145.1871 ,-14.7345 
Turtle Group Reef (No 3),145.1794 ,-14.7298 
Turtle Reef (South),145.1610 ,-14.7215 
Turtle Group Reef (No 4),145.1980 ,-14.7214 
Turtle Group Reef (No 8),145.1847 ,-14.7177 
Turtle Group Reef (No 6),145.1932 ,-14.7137 
Turtle Group Reef (No 5),145.2042 ,-14.7048 
Lizard Island Reef (Lagoon),145.4498 ,-14.6856 
Lizard Island Reef (Coconut Bay),145.4723 ,-14.6811 
U/N Reef,145.6502 ,-14.6649 
Lizard Island Reef (North West),145.4469 ,-14.6586 
Lizard Island Reef (North East),145.4661 ,-14.6550 
No Name Reef,145.6463 ,-14.6438 
Yonge Reef,145.6235 ,-14.5997 
Carter Reef,145.5890 ,-14.5477 
Day Reef,145.5368 ,-14.4967 
Waining Reef,145.2222 ,-14.4562 
Hicks Reef,145.4821 ,-14.4526 
Hilder Reef,145.4104 ,-14.4450 
Jewell Reef,145.3513 ,-14.3798 
coconut head ,145.4696 ,-14.6791 
Horseshoe Reef,145.4437 ,-14.6874 
Lizard Head,145.4719 ,-14.6866 
Mermaid Cove,145.4541 ,-14.6476 
Palfrey Island,145.4485 ,-14.6915 
South Island,145.4095 ,-14.7036 
12027,145.5235 ,-14.4729 
12026,145.5406 ,-14.4777 
12025,145.5583 ,-14.5005 
12005,145.6129 ,-14.5760 
12028,145.6277 ,-14.5844 
12004,145.6308 ,-14.6238 
12030,145.6867 ,-14.9328 
12034,145.6960 ,-14.9430 
